"FECHA DE APERTURA","DIA DE APERTURA","FECHA OCURRENCIA HECHOS","DIA OCURRENCIA","HORA MILITAR OCURRENCIA HECHOS","CONFORMAN UNIDAD DOMESTICA S/N","FISICA","VERBAL","ECONOMICA","PSICOLOGICA","SEXUAL","GENERO M/F VICTIMA","EDAD
VICTIMA","VICTIMA CONFLICTO ARMADO","ETNIA
VICTIMA","ESCOLARIDAD
VICTIMA","INSTUTUCION EDUCATIVA O COLEGIO","CONSUMO SUSTANCIAS PSICOACTIVAS","CORREGIMIENTO VICTIMA","COMUNA DE LA VICTIMA","BARRIO VICTIMA","TIPO VIVIENDA VICTIMA","GENERO AGRESOR M/F","PARENTESCO FRENTE A LA VICTIMA","NUMERO DE HIJOS
AGRESOR","EDAD AGRESOR","ESTADO CIVIL AGRESOR","ESCOLARIDAD AGRESOR","OCUPACION
AGRESOR","CORREGIMIENTO
AGRESOR","COMUNA AGRESOR","BARRIO AGRESOR","TIPO VIVIENDA
AGRESOR"
"2022-10-01T00:00:00.000","jueves","2022-10-01T00:00:00.000","jueves","12:00 p.m.","si","si","si","no","si","si","masculino","16","no","ninguno","bachiller completo","no aplica","no","ninguno","comuna2","altamira","no aplica","femenino","madre","3","45","viudo(a)","bachiller completo","independiente","ninguno","comuna 2","altamira","alquilada"
"18-01-2022","viernes","21/01/2022","viernes","1899-12-31T09:51:00.000","si","si","si","no","si","no","masculino","12","no","ninguno","primaria completa","soledad medina","no","ninguno","comuna2","urb. juan pablo ii","no aplica","masculino","padre","2","0","soltero(a)","primaria incompleta","independiente","ninguno","comuna 1","villa caimitos","alquilada"
"18-01-2022","viernes","21/01/2022","viernes","13:46 p.m.","si","si","si","no","si","no","masculino","10","no","ninguno","primaria completa","soledad medina","no","ninguno","comuna2","urb. juan pablo ii","no aplica","masculino","padre","2","0","soltero(a)","primaria incompleta","independiente","ninguno","comuna 1","villa caimitos","alquilada"
"18-01-2022","viernes","18/01/2022","martes","1899-12-31T11:51:00.000","si","si","si","no","si","no","femenino","12","no","ninguno","bachiller incompleto","jorge alfonso lizarazo","no","ninguno","comuna1","20 de julio","no aplica","masculino","padre","1","0","soltero(a)","primaria incompleta","independiente","rozo","comuna 10","rozo","alquilada"
"18-01-2022","viernes","2022-07-02T00:00:00.000","lunes","16:00 p.m.","si","si","si","no","si","no","masculino","15","no","afrocolombiano","bachiller incompleto","no aplica","no","ninguno","comuna1","20 de julio","no aplica","masculino","padre","1","0","soltero(a)","primaria incompleta","independiente","ninguno","comuna 1","coronado","alquilada"
"2022-01-20T00:00:00.000","jueves","no aplica","no aplica","no aplica","no","si","si","no","si","no","masculino","4","no","ninguno","ninguno","no aplica","ninguno","tablones","no aplica","no aplica","no aplica","masculino","padre","2","4","no aplica","no aplica","no aplica","no aplica","no aplica","no aplica","no aplica"
"2022-01-20T00:00:00.000","jueves","no aplica","no aplica","no aplica","no","si","si","no","si","no","masculino","7","no","ninguno","ninguno","no aplica","ninguno","tablones","no aplica","no aplica","no aplica","masculino","padre","2","7","no aplica","no aplica","no aplica","no aplica","no aplica","no aplica","no aplica"
"2022-04-02T00:00:00.000","viernes","19-11-2021","viernes","9:33 a.m","si","si","si","no","si","no","masculino","14","no","ninguno","bachiller completo","susana valencia","no","ninguno","comuna2","poblado de comfaunion","no aplica","masculino","hermano(a)","0","17","soltero(a)","bachiller incompleto","desempleado","ninguno","comuna 2","poblado de comfaunion","alquilada"
"14-02-2022","lunes","14-02-2022","lunes","12:00 p.m.","si","si","si","no","si","si","masculino","14","no","ninguno","bachiller incompleto","no","no","ninguno","comuna2","la benedicta","no aplica","masculino","hermanastro(a)","0","0","soltero(a)","primaria incompleta","independiente","ninguno","comuna 2","la benedicta","alquilada"
"15-02-2022","martes","2021-09-11T00:00:00.000","martes","10:04 a.m.","si","si","si","no","si","no","femenino","11","no","ninguno","bachiller incompleto","antonio lizarazo","no","ninguno","comuna1","molinos cien.","no aplica","femenino","madre","2","27","soltero(a)","bachiller completo","independiente","ninguno","comuna 1","molinos cien.","alquilada"
"16-02-2022","miercoles","21-12-2021","martes","16:00 p.m.","si","si","si","no","si","no","femenino","15","no","ninguno","bachiller completo","jorge isaacs","si","ninguno","comuna1","zamorano","no aplica","femenino","padre","2","40","soltero(a)","primaria completa","independiente","ninguno","comuna 1","zamorano","alquilada"
"16-02-2022","miercoles","29-10-2021","viernes","13:35 p.m.","si","si","si","no","si","no","masculino","8","no","ninguno","primaria incompleta","humberto raffo rivera","no","ninguno","comuna1","coronado","no aplica","femenino","padre","1","27","soltero(a)","bachiller completo","independiente","ninguno","comuna 1","coronado","alquilada"
"18-02-2022","viernes","13-12-2021","lunes","22:00 p..m.","si","si","si","no","si","no","masculino","7","no","ninguno","primaria incompleta","mercedes abrego","no","ninguno","comuna2","urb. juan pablo ii","no aplica","femenino","madre","2","26","soltero(a)","primaria incompleta","independiente","ninguno","comuna 2","urb. juan pablo ii","alquilada"
"18-02-2022","viernes","13-12-2021","lunes","17:00 p..m.","si","si","si","no","si","no","femenino","3","no","ninguno","primaria incompleta","caritas alegres","no","ninguno","comuna2","urb. juan pablo ii","no aplica","femenino","madre","2","26","soltero(a)","primaria incompleta","independiente","ninguno","comuna 2","urb. juan pablo ii","alquilada"
"18-02-2022","viernes","29-11-2021","lunes","13:07 p.m.","si","si","si","no","si","no","masculino","10","no","ninguno","primaria incompleta","mis pequeños talentos","no","ninguno","comuna1","villa caimitos","no aplica","masculino","padre","1","33","unión libre","primaria incompleta","independiente","ninguno","comuna 1","villa caimitos","alquilada"
"18-02-2022","viernes","30-12-2021","jueves","13:59 p.m.","si","si","si","no","si","si","femenino","4","no","indígena","primaria incompleta","huellitas","no","ninguno","comuna2","urb. villa claudia","no aplica","masculino","padre","1","22","unión libre","primaria incompleta","independiente","ninguno","comuna 1","villa caimitos","alquilada"
"21-02-2022","lunes","21/02/2022","lunes","16:00 p.m.","si","si","si","no","si","no","masculino","3","no","ninguno","primaria incompleta","no","no","ninguno","comuna2","berlin","no aplica","masculino","padre","0","0","soltero(a)","primaria incompleta","independiente","ninguno","comuna 5","san pedro","alquilada"
"21-02-2022","lunes","21/02/2022","lunes","16:00 p.m.","si","si","si","no","si","no","masculino","5","no","ninguno","primaria incompleta","no","no","ninguno","comuna1","villa caimitos","no aplica","femenino","padre","0","17","soltero(a)","primaria incompleta","independiente","ninguno","comuna 1","villa caimitos","alquilada"
"24-02-2022","jueves","17/02/2022","jueves","14:20 p.m.","si","si","si","no","si","no","masculino","8","no","ninguno","primaria incompleta","harold eder","no","ninguno","comuna1","bosques del eden","no aplica","masculino","padre","1","27","soltero(a)","primaria incompleta","independiente","ninguno","comuna 1","zamorano","propia"
"2022-02-05T00:00:00.000","sabado","2022-01-02T00:00:00.000","martes","12:00 p. m.","no","no","si","si","si","no","femenino","15","si","ninguno","no aplica","no aplica","no","ninguno","bogota","no aplica","no aplica","masculino","padre","no aplica","no aplica","soltero","no aplica","no aplica","ninguno","no aplica","no registro","no aplica"
"2022-02-07T00:00:00.000","lunes","no aplica","no aplica","no aplica","si","si","si","no","si","no","masculino","12","no","ninguno","no aplica","no aplica","no","ninguno","comuna5","los sauces","no aplica","femenino","madre","3","12","soltero","bachiller","operaria","ninguno","comuna 5","los sauces","alquilada"
"2022-02-17T00:00:00.000","jueves","no aplica","no aplica","no aplica","no aplica","si","si","no","si","no","masculino","3","no","ninguno","no aplica","no aplica","no","ninguno","comuna4","uribe uribe","no aplica","masculino","padrastro","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 5","san pedro","no aplica"
"2022-02-21T00:00:00.000","lunes","no aplica","no aplica","no aplica","si","si","si","no","si","no","masculino","13","no aplica","no aplica","noveno","i.e.domingo irurita","no aplica","ninguno","comuna7","el sembrador","no aplica","femenino","madre","1","36","no aplica","no aplica","no aplica","ninguno","comuna 7","el sembrador","no aplica"
"2022-02-03T00:00:00.000","jueves","no aplica","no aplica","no aplica","si","si","si","no","si","no","femenino","12","no aplica","no aplica","6to bachiller","i.e.agustiniano campestre","no","ninguno","comuna2","las mercedes","no aplica","femenino","abuela","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 2","las mercedes","alquilada"
"2022-02-18T00:00:00.000","viernes","13/02/2022","domingo","no aplica","no","si","si","no","si","no","femenino","16","no aplica","no aplica","no aplica","no aplica","no","ninguno","comuna7","el sembrador","no aplica","masculino","padrastro","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","no aplica","no aplica","no aplica"
"2022-02-01T00:00:00.000","sabado","28 de agosto 2022","viernes","no aplica","no","no","no","si","no","no","masculino","5","no","ninguno","primaria incompleta","institucion  educativa tablones","no","tienda nueva","comuna6","no aplica","no aplica","femenino","madre","2","39","soltero(a)","bachiller completo","asesora comercial","no aplica","no aplica","no aplica","no aplica"
"2022-02-02T00:00:00.000","miercoles","no aplica","no aplica","no aplica","no","no","no","no","si","no","masculino","7","no","ninguno","ninguno","no aplica","ninguno","no aplica","comuna10","no aplica","no aplica","femenino","madre","4","44","soltero(a)","no aplica","ama de casa","no aplica","no aplica","no aplica","no aplica"
"2022-02-03T00:00:00.000","jueves","no aplica","no aplica","no aplica","si","si","si","si","si","no","masculino","13","no","ninguno","primaria incompleta","no aplica","ninguno","potrerillo","comuna3","no aplica","no aplica","no aplica","no aplica","2","13","unión libre","bachiller incompleto","no aplica","no aplica","no aplica","no aplica","no aplica"
"2022-02-14T00:00:00.000","lunes","2022-08-02T00:00:00.000","martes","no aplica","no","si","si","no","si","no","femenino","13","no","ninguno","primaria incompleta","colegio semilla la esperza","ninguno","amaime","comuna12","no aplica","no aplica","femenino","madre","1","no aplica","no aplica","no aplica","no aplica","no aplica","no aplica","no aplica","no aplica"
"2022-03-05T00:00:00.000","sabado","2022-03-02T00:00:00.000","miercoles","no aplica","si","si","si","no","si","no","masculino","3","no aplica","no aplica","no registro","no registro","no registro","ninguno","comuna3","olimpico","no aplica","femenino","abuela","1","50","no aplica","no aplica","no aplica","ninguno","comuna 3","olimpico","no aplica"
"2022-03-05T00:00:00.000","sabado","2022-03-02T00:00:00.000","miercoles","no aplica","si","si","si","no","si","no","masculino","6","no aplica","no aplica","1ro primaria","i.e. monseñor becerra cabal","no","ninguno","comuna3","olimpico","no aplica","femenino","abuela","1","50","no aplica","no aplica","no aplica","ninguno","comuna 3","olimpico","no aplica"
"2022-03-06T00:00:00.000","domingo","no aplica","no aplica","no aplica","no","no","si","no","si","no","masculino","14","no aplica","no aplica","9no bachillerato","i.e. carlos arturo cabal","no registro","ninguno","comuna6","el paraiso","no aplica","masculino","padre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","buga","no aplica","no aplica"
"2022-03-06T00:00:00.000","domingo","no aplica","no aplica","no aplica","no","no","si","no","si","no","femenino","12","no aplica","no aplica","8vo bachillerato","i.e. carlos arturo cabal","no registro","ninguno","comuna6","el paraiso","no aplica","masculino","padre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","buga","no aplica","no aplica"
"2022-03-06T00:00:00.000","domingo","no aplica","no aplica","no aplica","no","no","si","no","si","no","femenino","15","no aplica","no aplica","no registro","no registro","no registro","ninguno","comuna6","el paraiso","no aplica","masculino","padre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","buga","no aplica","no aplica"
"2022-03-08T00:00:00.000","martes","no aplica","no aplica","no aplica","no","si","si","no","si","no","masculino","23","no aplica","no aplica","no registro","no registro","no registro","ninguno","comuna4","uribe uribe","no aplica","masculino","padrastro","1","7","soltero","no registro","no registro","ninguno","comuna 4","no aplica","no aplica"
"2022-03-12T00:00:00.000","sabado","no aplica","no aplica","no aplica","si","no","si","no","si","si","femenino","15","no aplica","no aplica","no registro","no registro","no registro","ninguno","comuna7","luis carlos galan","no aplica","femenino","madre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 7","luis carlos galan","no aplica"
"2022-03-02T00:00:00.000","miercoles","2022-02-14T00:00:00.000","lunes","no aplica","si","si","si","no","si","no","femenino","31","no aplica","no aplica","bachiller","no aplica","no registro","ninguno","comuna7","parques de la italia","no aplica","masculino","hermano(a)","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 7","parques de la italia","no aplica"
"2022-03-14T00:00:00.000","lunes","no aplica","no aplica","no aplica","no","si","si","no","si","no","femenino","12","no aplica","no aplica","7mo bachillerato","nuestra señora del palmar","no registro","ninguno","comuna7","parques de la italia","no aplica","femenino","madre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","no aplica","no aplica","no aplica"
"2022-03-15T00:00:00.000","martes","no aplica","no aplica","no aplica","si","si","si","no","si","no","femenino","1","no aplica","no aplica","no registro","no registro","no","ninguno","comuna6","central","no aplica","femenino","madre","no aplica","no aplica","no aplica","no aplica","oficios varios","ninguno","comuna 6","central","no aplica"
"2022-03-15T00:00:00.000","martes","no aplica","no aplica","no aplica","si","si","si","no","si","no","femenino","2","no aplica","no aplica","no registro","no registro","no","ninguno","comuna6","central","no aplica","femenino","madre","2","no aplica","no aplica","no aplica","oficios varios","ninguno","comuna 6","central","no aplica"
"2022-03-16T00:00:00.000","miercoles","no aplica","no aplica","no aplica","no","si","si","no","si","si","femenino","14","no aplica","no aplica","6to bachiller","i.e santa barbara sede central","no","cali","no aplica","no aplica","no aplica","femenino","madre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 3","la emilia","no aplica"
"2022-03-16T00:00:00.000","miercoles","no aplica","no aplica","no aplica","no","si","si","no","si","si","femenino","15","no aplica","no aplica","8vo bachillerato","i.e santa barbara sede central","no","cali","no aplica","no aplica","no aplica","femenino","madre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 3","la emilia","no aplica"
"2022-03-17T00:00:00.000","jueves","no aplica","no aplica","no aplica","no aplica","si","si","no","si","no","masculino","6","no aplica","no aplica","1ro primaria","no aplica","no","ninguno","comuna7","guayacanes del ingenio","no aplica","femenino","madre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 7","guayacanes del ingenio","no aplica"
"2022-03-18T00:00:00.000","viernes","no aplica","no aplica","no aplica","no","no","si","si","si","no","masculino","2","no aplica","no aplica","no aplica","no aplica","no","ninguno","comuna11","no aplica","no aplica","masculino","padre","no aplica","no aplica","no aplica","no aplica","obrero","bolo san isidro","comuna 11","no aplica","no aplica"
"2022-03-18T00:00:00.000","viernes","no aplica","no aplica","no aplica","no","no","no","no","si","si","masculino","1","no aplica","no aplica","no aplica","no aplica","no","ninguno","comuna7","no aplica","no aplica","femenino","madre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 7","parques de la italia","no aplica"
